"Points:0","Points:1","Points:2","U_new:0","U_new:1","U_new:2","f"
3.299,-0.084853,0.017321,0.8,-0.8,0,5.1438e-19
3.2849,-0.098995,0.017321,0.8,-0.8,0,5.1438e-19
3.6162,-0.087681,5.4136e-18,0.8,-0.8,0,-8.2038e-18
3.5242,0.0042426,-6.7886e-19,0.8,-0.8,0,-8.2038e-18
3.614,-0.089803,0.0051962,0.8,-0.8,0,-8.2038e-18
3.5221,0.0021213,0.0051962,0.8,-0.8,0,-8.2038e-18
3.6098,-0.094045,0.0051962,0.8,-0.8,0,-8.2038e-18
3.5179,-0.0021213,0.0051962,0.8,-0.8,0,-8.2038e-18
3.6077,-0.096167,7.5061e-18,0.8,-0.8,0,-8.2038e-18
3.5158,-0.0042426,1.4136e-18,0.8,-0.8,0,-8.2038e-18
3.6098,-0.094045,-0.0051962,0.8,-0.8,0,-8.2038e-18
3.5179,-0.0021213,-0.0051962,0.8,-0.8,0,-8.2038e-18
3.614,-0.089803,-0.0051962,0.8,-0.8,0,-8.2038e-18
3.5221,0.0021213,-0.0051962,0.8,-0.8,0,-8.2038e-18
3.6162,-0.087681,5.4136e-18,0.8,-0.8,0,-8.2038e-18
3.614,-0.089803,0.0051962,0.8,-0.8,0,-8.2038e-18
3.6098,-0.094045,0.0051962,0.8,-0.8,0,-8.2038e-18
3.6077,-0.096167,7.5061e-18,0.8,-0.8,0,-8.2038e-18
3.6098,-0.094045,-0.0051962,0.8,-0.8,0,-8.2038e-18
3.614,-0.089803,-0.0051962,0.8,-0.8,0,-8.2038e-18
3.5221,0.0021213,-0.0051962,0.8,-0.8,0,-8.2038e-18
3.5179,-0.0021213,-0.0051962,0.8,-0.8,0,-8.2038e-18
3.5158,-0.0042426,1.4136e-18,0.8,-0.8,0,-8.2038e-18
3.5179,-0.0021213,0.0051962,0.8,-0.8,0,-8.2038e-18
3.5221,0.0021213,0.0051962,0.8,-0.8,0,-8.2038e-18
3.5242,0.0042426,-6.7886e-19,0.8,-0.8,0,-8.2038e-18
3.6614,-0.14142,9.373e-18,0.8,-0.8,0,-8.2038e-18
3.5978,-0.10607,8.3553e-18,0.8,-0.8,0,-8.2038e-18
3.6049,-0.098995,-0.017321,0.8,-0.8,0,-8.2038e-18
3.619,-0.084853,-0.017321,0.8,-0.8,0,-8.2038e-18
3.6261,-0.077782,1.3803e-18,0.8,-0.8,0,-8.2038e-18
